Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,PCLK,Channel 15
11.359946592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359946976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359947088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359947480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359947592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359947976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359948088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359948480,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359948592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359948976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359949088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359949472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359949592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359949976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359950088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359950472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359950592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359950976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359951088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359951472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359951592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359951976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359952088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359952472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359952592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359952976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359953088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359953472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359953592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359953976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359954088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359954472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359954592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359954976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359955088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359955472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359955592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359955976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359956088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359956472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359956592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359956976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359957088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359957472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359957592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359957976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359958088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359958472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359958592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359958976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359959088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359959472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359959592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359959976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359960088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359960472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359960592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359960976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359961088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
